ID	RollNo	Name	Course	Dept	Age	Attendence	Total	Percentage	 Grade
384	R1384	Anjali Singh	Data Science	Core	21	76	382	76.4	B
385	R1385	Amit Verma	Data Science	Data	18	100	401	80.2	B
386	R1386	Neha Singh	Mechanical Engineering	AI	19	69	295	59	C
387	R1387	Rohan Nair	Mechanical Engineering	IT	20	65	363	72.6	B
388	R1388	Rahul Nair	Electronics	Core	25	60	366	73.2	B
389	R1389	Rahul Singh	Computer Science	IT	19	93	350	70	B
390	R1390	Rohan Desai	Artificial Intelligence	Core	20	86	347	69.4	B
391	R1391	Pooja Joshi	Artificial Intelligence	Data	19	83	365	73	B
392	R1392	Anjali Nair	Artificial Intelligence	Core	18	70	331	66.2	B
393	R1393	Karan Mehta	Computer Science	Core	19	70	225	45	C
394	R1394	Rahul Singh	Data Science	Data	25	99	332	66.4	B
395	R1395	Anjali Patel	Mechanical Engineering	IT	22	95	323	64.6	B
396	R1396	Rohan Desai	Information Technology	AI	24	60	354	70.8	B
397	R1397	Neha Singh	Computer Science	Data	25	75	406	81.2	B
398	R1398	Priya Desai	Artificial Intelligence	Data	22	82	323	64.6	B
399	R1399	Karan Sharma	Electronics	IT	25	77	386	77.2	B
400	R1400	Rohan Verma	Computer Science	Data	22	78	348	69.6	B
401	R1401	Karan Gupta	Data Science	Core	22	72	347	69.4	B
402	R1402	Rahul Gupta	Data Science	Core	25	90	339	67.8	B
403	R1403	Karan Verma	Computer Science	Data	21	69	271	54.2	C
404	R1404	Amit Desai	Data Science	IT	24	70	298	59.6	C
405	R1405	Neha Kulkarni	Information Technology	Data	20	96	373	74.6	B
406	R1406	Rahul Mehta	Electronics	Engineering	18	70	273	54.6	C
407	R1407	Priya Joshi	Electronics	Core	20	85	347	69.4	B
408	R1408	Karan Verma	Information Technology	Data	24	97	389	77.8	B
409	R1409	Karan Desai	Data Science	IT	23	82	358	71.6	B
410	R1410	Rahul Sharma	Data Science	Data	25	81	270	54	C
411	R1411	Sneha Desai	Artificial Intelligence	AI	23	63	370	74	B
412	R1412	Neha Singh	Mechanical Engineering	IT	21	67	372	74.4	B
413	R1413	Karan Singh	Computer Science	Data	18	78	376	75.2	B
414	R1414	Karan Verma	Artificial Intelligence	Core	25	98	337	67.4	B
415	R1415	Rohan Patel	Electronics	AI	20	66	369	73.8	B
416	R1416	Amit Verma	Artificial Intelligence	Data	18	92	363	72.6	B
417	R1417	Sneha Gupta	Artificial Intelligence	Engineering	22	60	300	60	B
418	R1418	Karan Sharma	Artificial Intelligence	IT	24	60	383	76.6	B
419	R1419	Karan Gupta	Information Technology	AI	21	98	340	68	B
420	R1420	Amit Gupta	Computer Science	Engineering	25	93	387	77.4	B
421	R1421	Arjun Desai	Information Technology	Engineering	25	89	294	58.8	C
422	R1422	Priya Gupta	Mechanical Engineering	AI	21	60	331	66.2	B
423	R1423	Priya Desai	Computer Science	IT	24	60	321	64.2	B
424	R1424	Amit Joshi	Electronics	Core	19	75	429	85.8	A
425	R1425	Amit Verma	Electronics	IT	22	70	244	48.8	C
426	R1426	Sneha Nair	Computer Science	AI	19	85	329	65.8	B
427	R1427	Priya Patel	Electronics	IT	24	98	286	57.2	C
428	R1428	Rohan Nair	Electronics	Engineering	20	61	334	66.8	B
429	R1429	Sneha Verma	Computer Science	Data	21	91	376	75.2	B
430	R1430	Priya Gupta	Mechanical Engineering	Data	25	64	414	82.8	B
431	R1431	Arjun Kulkarni	Artificial Intelligence	AI	19	79	301	60.2	B
432	R1432	Amit Kulkarni	Electronics	Data	25	100	292	58.4	C
433	R1433	Neha Patel	Mechanical Engineering	Data	21	71	320	64	B
434	R1434	Rohan Patel	Information Technology	Data	18	86	324	64.8	B
435	R1435	Rohan Desai	Artificial Intelligence	Core	20	77	428	85.6	A
436	R1436	Amit Joshi	Artificial Intelligence	Engineering	19	69	332	66.4	B
437	R1437	Pooja Desai	Computer Science	Engineering	23	69	379	75.8	B
438	R1438	Rohan Gupta	Data Science	AI	20	88	377	75.4	B
439	R1439	Amit Patel	Mechanical Engineering	Data	25	91	368	73.6	B
440	R1440	Priya Joshi	Artificial Intelligence	Engineering	18	84	394	78.8	B
441	R1441	Anjali Sharma	Information Technology	AI	21	81	257	51.4	C
442	R1442	Rahul Verma	Computer Science	IT	25	66	337	67.4	B
443	R1443	Arjun Mehta	Data Science	Engineering	21	64	297	59.4	C
444	R1444	Pooja Nair	Information Technology	AI	22	80	322	64.4	B
445	R1445	Arjun Sharma	Artificial Intelligence	IT	18	68	247	49.4	C
446	R1446	Karan Verma	Electronics	Engineering	18	73	314	62.8	B
447	R1447	Priya Kulkarni	Electronics	Core	21	88	314	62.8	B
448	R1448	Rohan Verma	Artificial Intelligence	Core	21	69	297	59.4	C
449	R1449	Sneha Verma	Electronics	Core	22	88	312	62.4	B
450	R1450	Rahul Sharma	Information Technology	Engineering	19	88	278	55.6	C
451	R1451	Arjun Patel	Mechanical Engineering	Data	23	74	361	72.2	B
452	R1452	Pooja Gupta	Mechanical Engineering	Core	22	76	320	64	B
453	R1453	Amit Nair	Electronics	Core	21	76	431	86.2	A
454	R1454	Neha Nair	Artificial Intelligence	IT	23	92	269	53.8	C
455	R1455	Priya Joshi	Information Technology	AI	24	67	358	71.6	B
456	R1456	Arjun Mehta	Artificial Intelligence	IT	25	82	314	62.8	B
457	R1457	Arjun Mehta	Electronics	Data	19	93	347	69.4	B
458	R1458	Rahul Desai	Artificial Intelligence	AI	23	91	412	82.4	B
459	R1459	Rohan Sharma	Information Technology	IT	19	88	306	61.2	B
460	R1460	Rohan Patel	Artificial Intelligence	AI	24	91	337	67.4	B
461	R1461	Arjun Gupta	Artificial Intelligence	Data	19	63	402	80.4	B
462	R1462	Anjali Mehta	Data Science	Engineering	25	67	377	75.4	B
463	R1463	Karan Desai	Data Science	Engineering	18	70	390	78	B
464	R1464	Rohan Verma	Mechanical Engineering	Data	18	82	326	65.2	B
465	R1465	Amit Patel	Computer Science	AI	19	64	331	66.2	B
466	R1466	Priya Gupta	Electronics	Core	24	65	336	67.2	B
467	R1467	Arjun Singh	Information Technology	Data	24	62	341	68.2	B
468	R1468	Anjali Sharma	Electronics	Data	19	70	330	66	B
469	R1469	Rahul Gupta	Artificial Intelligence	AI	22	88	318	63.6	B
470	R1470	Priya Patel	Computer Science	IT	20	80	320	64	B
471	R1471	Sneha Verma	Information Technology	Engineering	18	93	268	53.6	C
472	R1472	Priya Nair	Information Technology	AI	21	74	351	70.2	B
473	R1473	Pooja Mehta	Mechanical Engineering	IT	18	65	387	77.4	B
474	R1474	Rahul Patel	Mechanical Engineering	Data	22	88	292	58.4	C
475	R1475	Pooja Patel	Electronics	AI	24	80	331	66.2	B
476	R1476	Priya Sharma	Electronics	AI	20	70	371	74.2	B
477	R1477	Anjali Nair	Electronics	IT	18	83	345	69	B
478	R1478	Rohan Patel	Data Science	IT	22	99	291	58.2	C
479	R1479	Amit Nair	Electronics	Data	20	94	294	58.8	C
480	R1480	Rahul Kulkarni	Computer Science	Core	24	99	357	71.4	B
481	R1481	Neha Desai	Mechanical Engineering	IT	22	100	333	66.6	B
482	R1482	Rahul Joshi	Electronics	AI	19	63	319	63.8	B
483	R1483	Karan Desai	Data Science	Engineering	18	91	312	62.4	B
484	R1484	Amit Gupta	Computer Science	Engineering	25	93	349	69.8	B
485	R1485	Amit Desai	Electronics	Engineering	21	85	344	68.8	B
486	R1486	Rahul Singh	Artificial Intelligence	Core	25	74	353	70.6	B
487	R1487	Amit Desai	Electronics	IT	18	89	322	64.4	B
488	R1488	Priya Sharma	Computer Science	Engineering	18	80	392	78.4	B
489	R1489	Pooja Gupta	Data Science	Core	24	78	393	78.6	B
490	R1490	Sneha Mehta	Artificial Intelligence	AI	21	93	300	60	B
491	R1491	Neha Mehta	Electronics	Engineering	23	85	393	78.6	B
492	R1492	Arjun Joshi	Information Technology	IT	21	73	297	59.4	C
493	R1493	Priya Mehta	Computer Science	Engineering	21	83	344	68.8	B
494	R1494	Rohan Desai	Data Science	Engineering	25	90	421	84.2	B
495	R1495	Rahul Singh	Information Technology	Data	19	96	405	81	B
496	R1496	Arjun Gupta	Computer Science	Engineering	21	93	345	69	B
497	R1497	Neha Verma	Artificial Intelligence	Data	19	92	370	74	B
498	R1498	Rohan Nair	Electronics	AI	21	90	344	68.8	B
499	R1499	Pooja Desai	Information Technology	AI	20	87	295	59	C
500	R1500	Rohan Patel	Information Technology	IT	22	92	261	52.2	C
